text,category
table surface has deep cuts scratches,Furniture
power cut whole night no electricity,Electrical
geyser switch board wet dangerous,Plumbing
network down for hours no announcement,Internet
electricity supply not restored after maintenance,Electrical
no water supply in morning time,Plumbing
study chair too low back hurts,Furniture
washroom drain dirty insects visible,Housekeeping
cleaning done hastily not thorough at all,Housekeeping
mess utensils have dried food on them,Mess
wifi always down when needed most,Internet
internet access blocked after eleven pm,Internet
switchboard cover missing shock risk,Electrical
common room fan not working properly,Other
common room chair broken nobody fixed,Other
corridor very dusty near staircase,Housekeeping
hostel access card not working,Other
electricity cut during practical submission night,Electrical
toilet flush making noise all night,Plumbing
portion size reduced without any notice,Mess
cleaning staff reduced complaints increasing,Housekeeping
outside dog barking all night long,Other
no hot water during winter morning,Plumbing
pipeline leaking inside wall visible damage,Plumbing
cold chapati being served today,Mess
AC unit not turning on at all,Electrical
shelf heavy fallen dangerous situation,Furniture
chapati too small cannot make one bite,Mess
mess closing bell rung too early,Mess
rice served with insects found inside,Mess
hostel room allotment issue not resolved,Other
light fixture hanging loose from ceiling,Electrical
network slow but showing full bars,Internet
room floor sticky needs proper mopping,Housekeeping
power supply to room very weak,Electrical
cupboard door panel swollen not closing,Furniture
chair all joints loose collapsing soon,Furniture
roommate using room without permission,Other
food allergy not considered by staff,Mess
bed missing pillow and pillow cover,Furniture
chair very old creaking loudly,Furniture
breakfast quality very poor only bread,Mess
flies near dustbin room entry point,Housekeeping
dirty washroom nobody attending since morning,Housekeeping
no water before seven in morning,Plumbing
no connectivity during placement preparation,Internet
food served while still frozen inside,Mess
no connectivity entire hostel for two hours,Internet
no internet during entire weekend,Internet
sewage smell from bathroom drain pipe,Plumbing
no dessert on sunday against schedule,Mess
street light outside window broken,Electrical
breakfast only bread butter no hot item,Mess
mess garbage not cleaned during meal times,Mess
room 208 power failure since yesterday,Electrical
three pin socket damaged near door,Electrical
sweeper came late room not properly done,Housekeeping
no water supply in attached bathroom,Plumbing
mess attendant absent food serving slow,Mess
pipe disconnected under bathroom sink,Plumbing
no water for washing utensils today,Plumbing
study table too small for laptop,Furniture
wiring exposed near window very dangerous,Electrical
hostel main gate broken anyone entering,Other
cannot access college portal on hostel wifi,Internet
no functioning light in room at all,Electrical
light switch stuck cannot turn off,Electrical
no water for washing clothes today,Plumbing
common room table glass cracked badly,Other
bed frame nail protruding injury risk,Furniture
mattress cover torn unhygienic to use,Furniture
mess attendance count wrong billed extra,Mess
corridor bin bags not tied before removal,Housekeeping
hostel event preparation noise during exams,Other
mess milk watery not full cream,Mess
room smelling musty needs ventilation,Housekeeping
circuit breaker keeps tripping in block B,Electrical
bed wooden board cracked broke under,Furniture
internet slow even one person connected,Internet
cupboard has no shelf inside empty,Furniture
pipe burst near ground floor bathroom,Plumbing
hostel entrance muddy footprints on floor,Housekeeping
water supply interrupted without prior notice,Plumbing
internet very slow at seven pm daily,Internet
food served using dirty ladle,Mess
fuse blown in room 108,Electrical
mess staff rude to students during meal,Mess
fan not working since last night,Electrical
no water to flush toilet morning,Plumbing
table surface uneven laptop wobbles,Furniture
pipe joint loose dripping every minute,Plumbing
geyser not switching on at all,Plumbing
food not enough for hostelers staying late,Mess
switch giving mild shock when touched,Electrical
router blinking orange problem not fixed,Internet
no power for charging laptops in room,Electrical
table leg cracked nearly breaking,Furniture
common toilet not cleaned since morning,Housekeeping
water meter broken unable to track usage,Plumbing
no variety on weekday breakfast menu,Mess
router in wing B not responding,Internet
water coming from ceiling after rain,Plumbing
internet cuts out mid submission very frustrating,Internet
internet not restored after scheduled outage,Internet
sweeper using same dirty cloth everywhere,Housekeeping
fan motor burning smell noticed,Electrical
chair very low uncomfortable for tall student,Furniture
chair armrest completely detached,Furniture
cupboard door paint chipping inside,Furniture
no water on holiday when cleaners absent,Plumbing
internet slow in daytime not night,Internet
overhead light dim and flickering badly,Electrical
noisy generator placed near room block,Other
bed bunk top ladder very shaky,Furniture
transformer humming loudly near hostel,Electrical
water standing in corridor near bathroom,Plumbing
shelf broken tilted to one side,Furniture
bathroom toilet brush missing for cleaning,Housekeeping
mattress very old smells musty,Furniture
cupboard base water damaged swollen,Furniture
router in common area switched off,Internet
internet cuts out randomly throughout day,Internet
water coming from bathroom into room,Plumbing
internet very slow during rainy weather,Internet
hostel boundary light not working night,Other
mess closed on holiday students starving,Mess
cupboard interior shelf broken weight,Furniture
breakfast menu promise not followed today,Mess
salad not fresh wilted leaves served,Mess
socket loose near study table,Electrical
floor sweep marks visible not properly done,Housekeeping
overflow from bathroom entering corridor,Plumbing
bathroom smell due to blocked drain,Plumbing
room swept but not mopped at all,Housekeeping
loose switchboard shocking when touched lightly,Electrical
wifi working but no access to internet,Internet
wifi working but youtube very slow,Internet
salt too much in sabzi today,Mess
switch not turning off fan properly,Electrical
mess roti machine breakdown plain bread served,Mess
room fan making grinding noise,Electrical
tube light not turning on at all,Electrical
wash basin drain pipe blocked,Plumbing
electric meter room locked cannot check,Electrical
water pressure very weak on third floor,Plumbing
router needs new password nobody knows it,Internet
common washroom tissue bin overflowing,Housekeeping
bathroom tiles very slippery and dirty,Housekeeping
no water for bathing since morning,Plumbing
internet slow during assignment upload,Internet
room cleaning skipped again today morning,Housekeeping
bathroom floor not dried after mopping,Housekeeping
general repair request pending too long,Other
bathroom tap extremely hard to turn,Plumbing
cleaning log not maintained by staff,Housekeeping
geyser thermostat broken not controlling temp,Plumbing
no provision for late comers in evening,Mess
router light showing no broadband connection,Internet
internet barely working cannot watch lecture,Internet
chair completely unusable replaced needed,Furniture
study table very old needs replacement,Furniture
room not cleaned before new semester,Housekeeping
internet dropping affecting attendance marking,Internet
garbage overflowing near staircase landing,Housekeeping
room shoe rack broken pieces scattered,Other
tap rubber washer gone dripping heavily,Plumbing
tap making loud noise when opened,Plumbing
plug melted from overheating,Electrical
chair backrest missing bolts falling off,Furniture
room dust causing coughing every day,Housekeeping
bathroom tiles covered in soap scum,Housekeeping
bathroom tap water coming brownish color,Plumbing
chapati count limited cannot eat enough,Mess
waste bin overflowing in corridor,Housekeeping
shelf not fixed to wall properly,Furniture
geyser making burning smell when on,Plumbing
fuse box in corridor needs checking,Electrical
water leaking from pipe near washroom,Plumbing
common bathroom mirror broken sharp edges,Other
emergency light not working during outage,Electrical
mess garbage outside blocking entrance,Mess
wifi not working since power cut yesterday,Internet
dust on fan blades heavy layer,Housekeeping
low water pressure in all taps,Plumbing
study table drawer completely stuck,Furniture
food without salt today nobody checked,Mess
bed wooden plank cracked under weight,Furniture
chair backrest broken falling off,Furniture
dirty mop water left in room,Housekeeping
toilet very dirty nobody cleaned today,Housekeeping
hostel bin area smells due to delay,Housekeeping
cleaning not happening in attached bathroom,Housekeeping
roommate disturbing during exam preparation,Other
sink drain gurgling sound when draining,Plumbing
cupboard door sticking hard to open,Furniture
light switch sparking loudly when flipped,Electrical
no water supply to new wing rooms,Plumbing
bed ladder rungs broken unsafe,Furniture
bathroom flooding due to blocked drain,Plumbing
hostel laundry timing changed no notice,Other
bed frame rusted sharp edge injury,Furniture
mattress spring exposed poking situation,Furniture
mess closed early many students hungry,Mess
electrical panel room always locked,Electrical
water supply cut during afternoon hours,Plumbing
pest control not done since months,Housekeeping
emergency backup light not charged,Electrical
room 302 complete darkness since last evening,Electrical
mattress provided is not sized right,Furniture
light blinking continuously disturbing study,Electrical
wifi disconnects when phone screen locks,Internet
geyser thermostat not maintaining temperature,Plumbing
corridor near laundry area very smelly,Housekeeping
cleaning staff not visiting on weekends,Housekeeping
supply pipe noisy and vibrating badly,Plumbing
toilet paper not restocked after cleaning,Housekeeping
bed bolts missing very unstable,Furniture
water supply extremely low cannot shower,Plumbing
noise from power generator too loud,Other
